Key Value id name level Width(0
shop butcher 122 shop_butcher 4 0
shop jewelry 120 store 4 0
shop interior_decoration 120 store 4 0
shop hairdresser 120 store 4 0
shop variety_store 120 store 4 0
shop hearing_aids 120 store 4 0
shop second_hand 120 store 4 0
shop vacant 120 store 4 0
shop bed 120 store 4 0
shop beverages 120 store 4 0
shop bicycle 128 store_bicycle 4 0
shop deli 120 store 4 0
shop hifi 120 store 4 0
shop herbalist 120 store 4 0
shop confectionery 120 store 4 0
shop hardware 120 store 4 0
shop clothes 126 shop_clothes 4 0
shop books 130 store_books 4 0
shop chemist 120 store 4 0
shop boutique 120 store 4 0
shop dry_cleaning 149 store_laundry 4 0
shop charity 120 store 4 0
shop carpet 120 store 4 0
shop fabric 120 store 4 0
shop stationery 120 store 4 0
shop car_parts 120 store 4 0
shop glaziery 120 store 4 0
shop sports 119 store_sports 4 0
shop general 120 store 4 0
shop gas 120 store 4 0
shop drugstore 49 pharmacy 4 0
shop car 43 garage 4 0
shop furniture 120 store 4 0
shop furnace 120 store 4 0
shop funeral_directors 120 store 4 0
shop doityourself 120 store 4 0
shop ticket 120 store 4 0
shop convenience 123 shop_convenience 4 0
shop copyshop 120 store 4 0
sport golf 22 golf_courses 1 0
sport rugby_league 131 sport 4 0
sport karting 131 sport 4 0
sport badminton 131 sport 4 0
sport judo 131 sport 4 0
sport skiing 131 sport 4 0
sport multi 131 sport 4 0
sport skating 131 sport 4 0
sport volleyball 135 sport_volleyball 4 0
sport shooting 131 sport 4 0
sport rowing 131 sport 4 0
sport dog_racing 131 sport 4 0
sport chess 131 sport 4 0
sport surfing 131 sport 4 0
sport scuba_diving 131 sport 4 0
sport archery 131 sport 4 0
sport paddle_tennis 131 sport 4 0
sport ice_stock 131 sport 4 0
sport paragliding 131 sport 4 0
sport soccer 132 sport_soccer 4 0
sport motor 131 sport 4 0
sport hockey 131 sport 4 0
sport 9pin 131 sport 4 0
sport cycling 131 sport 4 0
sport racquet 131 sport 4 0
sport team_handball 131 sport 4 0
sport croquet 131 sport 4 0
sport cricket_nets 131 sport 4 0
sport tennis 134 sport_tennis 4 0
sport cricket 131 sport 4 0
sport wrestling 131 sport 4 0
sport taekwondo 131 sport 4 0
sport table_tennis 131 sport 4 0
sport weightlifting 131 sport 4 0
sport athletics 131 sport 4 0
sport swimming 133 sport_swimming 4 0
sport diving 131 sport 4 0
sport climbing 131 sport 4 0
sport running 131 sport 4 0
sport toboggan 131 sport 4 0
sport base 131 sport 4 0
sport baseball 131 sport_baseball 4 0
sport basketball 131 sport_basketball 4 0
sport equestrian 131 sport 4 0
sport horseshoes 131 sport 4 0
sport fencing 131 sport 4 0
sport free_flying 131 sport 4 0
sport gaelic_games 131 sport 4 0
sport canoe 131 sport 4 0
sport skateboard 131 sport 4 0
sport bowls 131 sport 4 0
sport canadian_football 131 sport 4 0
sport rugby_union 131 sport 4 0
sport 10pin 131 sport 4 0
sport boxing 131 sport 4 0
sport water_ski 131 sport 4 0
sport pelota 131 sport 4 0
sport boules 131 sport 4 0
sport gymnastics 131 sport 4 0
sport horse_racing 131 sport 4 0
sport bmx 131 sport 4 0
sport orienteering 131 sport 4 0
sport australian_football 131 sport 4 0
sport american_football 131 sport 4 0
sport beachvolleyball 131 sport 4 0
sport korfball 131 sport 4 0
